127.0.0.1 - - [28/Feb/2019:10:55:18 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:55:25 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:55:25 +0530] "GET /ORSProject4/img/bg3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:55:26 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:23 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:26 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:28 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5692
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:35 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 5750
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:38 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 200 6543
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:41 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 10446
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:47 +0530] "GET /ORSProject4/ctl/CourseCtl HTTP/1.1" 200 7550
0:0:0:0:0:0:0:1 - - [28/Feb/2019:10:56:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:01:49 +0530] "GET /ORSProject4/ctl/TimeTableCtl HTTP/1.1" 200 9041
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:01:49 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:01:59 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 8251
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:01:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:04 +0530] "POST /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 8380
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:21 +0530] "POST /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 8377
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:26 +0530] "POST /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 8377
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:31 +0530] "POST /ORSProject4/ctl/SubjectCtl HTTP/1.1" 500 8376
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:34 +0530] "POST /ORSProject4/ctl/SubjectCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:34 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 8251
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:35 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 8428
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:02:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:23:38 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 8428
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:23:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:28 +0530] "GET /ORSProject4/ctl/MarksheetCtl HTTP/1.1" 200 8975
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:33 +0530] "GET /ORSProject4/ctl/MarksheetCtl HTTP/1.1" 200 8975
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:34 +0530] "GET /ORSProject4/ctl/UserCtl HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:41 +0530] "GET /ORSProject4/ctl/RoleCtl HTTP/1.1" 200 7521
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:53 +0530] "GET /ORSProject4/ctl/MarksheetCtl HTTP/1.1" 200 8975
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:54 +0530] "GET /ORSProject4/ctl/UserCtl HTTP/1.1" 200 9293
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:56 +0530] "GET /ORSProject4/ctl/CollegeCtl HTTP/1.1" 200 8161
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:24:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:25:01 +0530] "GET /ORSProject4/ctl/MarksheetCtl HTTP/1.1" 200 8975
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:25:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:25:09 +0530] "GET /ORSProject4/ctl/StudentCtl HTTP/1.1" 200 8958
0:0:0:0:0:0:0:1 - - [28/Feb/2019:11:25:09 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:09:08 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:17:51 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:18:56 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:18:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:19:43 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:19:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:19:44 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:19:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:20:35 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4761
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:20:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:21:41 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5692
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:21:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:22:23 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5692
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:22:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [28/Feb/2019:12:22:23 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5692
