0:0:0:0:0:0:0:1 - - [13/Aug/2019:16:59:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:16:59:51 +0530] "GET /ORSProject4/ctl/MarksheetCtl?id=1 HTTP/1.1" 200 8785
0:0:0:0:0:0:0:1 - - [13/Aug/2019:16:59:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:00:36 +0530] "GET /ORSProject4/ctl/MarksheetCtl?id=11 HTTP/1.1" 200 8786
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:00:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:00:53 +0530] "POST /ORSProject4/ctl/MarksheetCtl HTTP/1.1" 500 8815
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:00:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:00:57 +0530] "GET /ORSProject4/ctl/MarksheetListCtl HTTP/1.1" 200 12575
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:00:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:03:20 +0530] "POST /ORSProject4/ctl/MarksheetListCtl HTTP/1.1" 200 8359
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:03:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:08:35 +0530] "GET /ORSProject4/ctl/UserListCtl HTTP/1.1" 200 12156
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:08:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:25:39 +0530] "GET /ORSProject4/ctl/SubjectCtl HTTP/1.1" 200 7996
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:25:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:25:52 +0530] "GET /ORSProject4/ctl/TimeTableListCtl HTTP/1.1" 200 12685
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:25:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:32:58 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 8422
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:32:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:33:41 +0530] "GET /ORSProject4/ctl/MyProfileCtl HTTP/1.1" 200 8422
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:33:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:34:21 +0530] "GET /ORSProject4/LoginCtl?operation=logout HTTP/1.1" 200 5886
0:0:0:0:0:0:0:1 - - [13/Aug/2019:17:34:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
