127.0.0.1 - - [29/Jun/2019:11:01:11 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:20 +0530] "GET /ORSProject4/ HTTP/1.1" 200 772
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:20 +0530] "GET /ORSProject4/img/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:20 +0530] "GET /ORSProject4/img/bg3.jpg HTTP/1.1" 200 27435
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:28 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:29 +0530] "GET /ORSProject4/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:29 +0530] "GET /ORSProject4/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:01:29 +0530] "GET /ORSProject4/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:27 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:29 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:29 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:56 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:56 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:05:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:07:21 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:07:31 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:07:31 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:07:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:02 +0530] "GET /ORSProject4/WelcomeCtl HTTP/1.1" 200 4800
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:04 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:15 +0530] "POST /ORSProject4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:15 +0530] "GET /ORSProject4/UserRegistrationCtl HTTP/1.1" 200 7017
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:20 +0530] "GET /ORSProject4/LoginCtl HTTP/1.1" 200 5849
0:0:0:0:0:0:0:1 - - [29/Jun/2019:11:11:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1044
